San Diego	0	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0		0	0	0
Chargers 16	27	0.600000	441	1039	395.600006	6.100000	22.299999	92	205	45	5	13	38	84	677	33:03:	0	25	16
Philadelphia Eagles	16	27.400000	439	1038	389.399994	6.000000	20.100000	85	214	40	9	13	69	129	1101	31:15:	0	33	12
Houston Texans	16	24.400000	390	1029	386.600006	6.000000	22.500000	79	192	41	9	19	47	90	690	29:26:	0	15	6
Indianapolis Colts	16	27.200001	435	1088	380.799988	5.600000	22.900000	91	204	45	5	8	62	79	709	29:55:	0	14	8
New York	0	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0		0	0	0
Giants 16	24	0.600000	394	1035	380.299988	5.900000	20.700001	74	206	36	3	11	27	92	777	32:32:	0	26	17
New Orleans	0	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0		0	0	0
Saints 16	24	384.000000	1067	372	0.500000	5.600000	21.900000	106	217	49	5	11	46	90	884	32:05:	0	23	9
Dallas Cowboys	16	24.600000	394	1035	364.200012	5.600000	20.400000	86	211	41	13	22	59	109	863	31:25:	0	28	11
New England	0	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0		0	0	0
Patriots 16	32	0.400000	518	986	363.799988	5.900000	20.900000	95	197	48	7	14	50	83	766	29:24:	0	9	5
Green Bay	0	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0		0	0	0
Packers 16	24	0.200000	388	1000	358.100006	5.700000	19.500000	85	205	42	5	13	38	78	617	32:01:	0	20	9
Oakland Raiders	16	25.600000	410	1039	354.600006	5.500000	19.100000	75	220	34	8	20	40	148	1276	31:12:	0	32	10
New York	0	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0		0	0	0
Jets 16	22	0.900000	367	1087	351.000000	5.200000	19.200001	93	235	40	5	14	36	103	934	32:37:	0	23	7
Kansas City	0	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0		0	0	0
Chiefs 16	22	0.900000	366	1063	349.700012	5.300000	19.900000	83	226	37	10	23	44	90	771	31:39:	0	15	6
Denver Broncos	16	21.500000	344	1018	348.899994	5.500000	19.299999	67	207	32	6	19	32	98	944	28:09:	0	29	15
Pittsburgh Steelers	16	23.400000	375	993	345.299988	5.600000	18.400000	94	218	43	2	5	40	100	903	32:24:	0	22	9
Jacksonville Jaguars	16	22.100000	353	1019	341.200012	5.400000	20.600000	81	203	40	16	25	64	83	675	31:48:	0	23	12
Atlanta Falcons	16	25.900000	414	1097	341.100006	5.000000	22.100000	112	240	47	11	15	73	58	598	32:47:	0	12	8
Detroit Lions	16	22.600000	362	1064	338.899994	5.100000	19.000000	97	242	40	10	16	62	136	1018	29:48:	0	20	9
Washington Redskins	16	18.900000	302	1002	335.899994	5.400000	18.400000	61	208	29	6	12	50	90	647	28:50:	0	29	12
Tampa Bay	0	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0		0	0	0
Buccaneers 16	21	0.300000	341	955	335.100006	5.600000	18.000000	89	211	42	10	14	71	100	837	30:49:	0	25	13
Cincinnati Bengals	16	20.100000	322	1046	330.600006	5.100000	19.799999	87	224	39	13	19	68	90	725	31:14:	0	21	14
Miami Dolphins	16	17.100000	273	1040	323.100006	5.000000	18.799999	92	230	40	3	10	30	72	595	30:54:	0	24	10
Baltimore Ravens	16	22.299999	357	1018	322.899994	5.100000	18.900000	82	210	39	4	10	40	90	673	31:20:	0	22	10
Minnesota Vikings	16	17.600000	281	982	314.899994	5.100000	18.100000	71	205	35	8	17	47	100	769	30:25:	0	20	11
San Francisco	49	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0	0	0	0	0	0		0	0	0
